2024-11-03 22:53:39,771 | app_logger | INFO | Загрузка страницы http://quotes.toscrape.com/page/8/
2024-11-03 22:53:40,376 | app_logger | INFO | Страница успешно загружена!
2024-11-03 22:53:40,376 | app_logger | INFO | Начало записи в базу данных со страницы http://quotes.toscrape.com/page/8/
2024-11-03 22:53:40,377 | app_logger | INFO | Начало сбора данных со страницы http://quotes.toscrape.com
2024-11-03 22:53:40,947 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Alfred-Tennyson
2024-11-03 22:53:40,949 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:41,604 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Charles-Bukowski
2024-11-03 22:53:41,607 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:42,319 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Terry-Pratchett
2024-11-03 22:53:42,321 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:42,936 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Dr-Seuss
2024-11-03 22:53:42,940 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:43,548 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-D-Salinger
2024-11-03 22:53:43,550 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:44,164 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/George-Carlin
2024-11-03 22:53:44,167 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:44,732 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/John-Lennon
2024-11-03 22:53:44,734 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:45,349 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/W-C-Fields
2024-11-03 22:53:45,352 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:45,914 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Ayn-Rand
2024-11-03 22:53:45,915 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:46,460 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Mark-Twain
2024-11-03 22:53:46,465 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:46,481 | app_logger | INFO | Запись прошла успешно!
2024-11-03 22:53:46,481 | app_logger | INFO | Переход на следующую страницу: http://quotes.toscrape.com/page/9/
2024-11-03 22:53:46,481 | app_logger | INFO | Загрузка страницы http://quotes.toscrape.com/page/9/
2024-11-03 22:53:47,023 | app_logger | INFO | Страница успешно загружена!
2024-11-03 22:53:47,023 | app_logger | INFO | Начало записи в базу данных со страницы http://quotes.toscrape.com/page/9/
2024-11-03 22:53:47,023 | app_logger | INFO | Начало сбора данных со страницы http://quotes.toscrape.com
